Website,Security Score,Risk Level
https://google.com,80,LOW
https://google.com,80,LOW
https://google.com,80,LOW
https://google.com,80,LOW
https://google.com,100,LOW
https://google.com,100,LOW
https://google.com,100,LOW
https://github.com,90,LOW
https://github.com,90,LOW
https://readynest.com,100,LOW
https://netflixs.comm,50,MEDIUM
https://netflixs.comm,50,MEDIUM
https://https.netflics.com,50,MEDIUM
https://microsoft.com,100,LOW
https://openai.com,100,LOW
https://github.com,90,LOW
https://github.com,90,LOW
https://google.com,100,LOW
https://google.com,100,LOW
https://github.com,90,LOW
https://microsoft.com,100,LOW
